case_id,dice,gt_voxels,pred_voxels,tp,fp,fn
651,0.67886657,91798,117548,71059,46489,20739
652,0.83507892,104440,101222,85872,15350,18568
653,0.68485450,113938,129778,83455,46323,30483
654,0.72973181,69538,86100,56787,29313,12751
655,0.57890523,35650,75515,32177,43338,3473
656,0.73693842,107758,106458,78932,27526,28826
657,0.71213683,105770,116339,79086,37253,26684
658,0.69174061,68870,84410,53015,31395,15855
659,0.78216915,104214,114194,85416,28778,18798
660,0.68585837,149249,200138,119815,80323,29434
661,0.69468686,105808,139753,85294,54459,20514
662,0.65683749,72718,115158,61702,53456,11016
663,0.69131490,137969,168936,106084,62852,31885
664,0.72656670,110700,108710,79708,29002,30992
665,0.78131008,80665,94103,68274,25829,12391
666,0.63109358,59676,85846,45919,39927,13757
667,0.77256874,76790,84063,62135,21928,14655
668,0.77094625,118575,123115,93165,29950,25410
669,0.82988821,83871,79645,67850,11795,16021
670,0.75257321,96095,111914,78271,33643,17824
671,0.79727566,123934,127136,100086,27050,23848
672,0.78482934,119236,129850,97745,32105,21491
673,0.73486223,111295,108602,80797,27805,30498
674,0.71381538,96401,122594,78161,44433,18240
675,0.80292292,105161,117630,89442,28188,15719
676,0.59551802,69394,118157,55845,62312,13549
677,0.64625027,203411,147908,113520,34388,89891
678,0.72293168,98510,93735,69490,24245,29020
679,0.79459138,79482,68282,58706,9576,20776
680,0.80426717,103123,110602,85946,24656,17177
681,0.83363277,147306,151034,124353,26681,22953
682,0.75599440,137623,155067,110636,44431,26987
683,0.79072316,108051,110989,86600,24389,21451
684,0.63743869,113860,144477,82337,62140,31523
685,0.74515094,112378,104829,80926,23903,31452
686,0.79957931,99033,119657,87430,32227,11603
687,0.72788966,101732,149067,91277,57790,10455
688,0.70004707,150122,145201,103370,41831,46752
689,0.78984882,86593,105897,76019,29878,10574
690,0.79905534,103873,96834,80188,16646,23685
691,0.80987694,88901,98404,75847,22557,13054
692,0.79351788,145992,150886,117789,33097,28203
693,0.78312269,106884,111018,85322,25696,21562
694,0.61209681,78729,119439,60649,58790,18080
695,0.78732484,72290,76505,58575,17930,13715
696,0.71351053,80780,107747,67258,40489,13522
697,0.73505482,78989,109065,69115,39950,9874
698,0.84779080,74041,84274,67109,17165,6932
699,0.79353534,141427,125563,105933,19630,35494
700,0.73564326,97211,108250,75573,32677,21638
