case_id,dice,cldice,betti0_error,voi,gt_voxels,pred_voxels,tp,fp,fn,gt_components,pred_components
651,0.678866565398909,0.7677584357726261,21.0,0.014122506574506175,91798,117548,71059,46489,20739,2,23
652,0.8350789158911224,0.888427556926097,15.0,0.008186097174369113,104440,101222,85872,15350,18568,2,17
653,0.6848545027819265,0.7505035093990928,14.0,0.01610371624759286,113938,129778,83455,46323,30483,2,16
654,0.7297318135673807,0.7518733071373555,23.0,0.009393861027562282,69538,86100,56787,29313,12751,2,25
655,0.578905230962983,0.5829959643025373,15.0,0.00931822725700005,35650,75515,32177,43338,3473,2,17
656,0.7369384172984278,0.7915166792226479,25.0,0.012445289781036442,107758,106458,78932,27526,28826,2,27
657,0.7121368337167787,0.7175004858825974,25.0,0.017920398199463804,105770,116339,79086,37253,26684,2,27
658,0.691740605427975,0.595980152911053,20.0,0.010337661839724642,68870,84410,53015,31395,15855,2,22
659,0.7821691513131387,0.8383982917680963,17.0,0.013116840279824217,104214,114194,85416,28778,18798,3,20
660,0.68585837481074,0.695058589991594,32.0,0.021898087297671728,149249,200138,119815,80323,29434,2,34
661,0.6946868598841022,0.7409890423585528,23.0,0.01559488915566002,105808,139753,85294,54459,20514,3,26
662,0.6568374885562818,0.6818170209070802,20.0,0.013145600132028977,72718,115158,61702,53456,11016,2,22
663,0.6913149020055066,0.6613999794091941,19.0,0.01940509641393272,137969,168936,106084,62852,31885,2,21
664,0.7265667016088602,0.7430049784019387,9.0,0.0170502395130002,110700,108710,79708,29002,30992,3,12
665,0.7813100796484482,0.8371276561162462,17.0,0.011470554931179624,80665,94103,68274,25829,12391,2,19
666,0.6310935803521117,0.6229086229086229,23.0,0.01125405100472176,59676,85846,45919,39927,13757,3,26
667,0.7725687428894705,0.8198624066179885,17.0,0.008492666729163413,76790,84063,62135,21928,14655,2,19
668,0.7709462534651826,0.8481462893054313,24.0,0.012415593473476556,118575,123115,93165,29950,25410,2,26
669,0.8298882066586756,0.9310863912593764,5.0,0.008040865193294978,83871,79645,67850,11795,16021,2,7
670,0.7525732059670495,0.7767351818378362,14.0,0.011446408384024265,96095,111914,78271,33643,17824,4,18
671,0.7972756601744534,0.8538083473368699,10.0,0.011642992889259223,123934,127136,100086,27050,23848,3,13
672,0.7848293360526083,0.8986925814776241,7.0,0.01364415623083571,119236,129850,97745,32105,21491,2,9
673,0.7348622309535828,0.7638980537678651,15.0,0.012824128480428909,111295,108602,80797,27805,30498,4,19
674,0.7138153839128747,0.75139031342171,21.0,0.013390442904929429,96401,122594,78161,44433,18240,2,23
675,0.8029229187893586,0.80080874639507,28.0,0.01013978193847917,105161,117630,89442,28188,15719,2,30
676,0.5955180190988051,0.6078514965340531,44.0,0.014959293096161584,69394,118157,55845,62312,13549,2,46
677,0.6462502739675338,0.7095481103765982,31.0,0.027827970213497092,203411,147908,113520,34388,89891,2,33
678,0.7229316757262868,0.8328494289396459,3.0,0.015277063594182988,98510,93735,69490,24245,29020,3,6
679,0.7945913754365068,0.8881611731005161,15.0,0.007886014314602126,79482,68282,58706,9576,20776,2,17
680,0.8042671657503802,0.8793966908535955,11.0,0.012685989583405236,103123,110602,85946,24656,17177,4,15
681,0.8336327679828384,0.8843550135569836,15.0,0.015093175342434172,147306,151034,124353,26681,22953,2,17
682,0.7559943968020773,0.7554475797585144,15.0,0.020115077116273465,137623,155067,110636,44431,26987,3,18
683,0.7907231555880204,0.7546149942880711,21.0,0.013728475787115786,108051,110989,86600,24389,21451,2,23
684,0.6374386944185308,0.6660721904321459,26.0,0.02106395180653433,113860,144477,82337,62140,31523,5,31
685,0.7451509389660554,0.8251929978047259,23.0,0.01226799632816792,112378,104829,80926,23903,31452,2,25
686,0.7995793131830445,0.8315749028760087,13.0,0.011709598535356927,99033,119657,87430,32227,11603,2,15
687,0.7278896646318367,0.7288468352608666,27.0,0.014805461803996983,101732,149067,91277,57790,10455,3,30
688,0.7000470671095715,0.7603212502713262,12.0,0.023988898922195377,150122,145201,103370,41831,46752,4,16
689,0.7898488233154969,0.8488821367576072,16.0,0.011091257894990929,86593,105897,76019,29878,10574,2,18
690,0.7990553393753083,0.8705963312676969,14.0,0.01157560915817895,103873,96834,80188,16646,23685,3,17
691,0.8098769386828969,0.8535880893782068,12.0,0.010948813018497958,88901,98404,75847,22557,13054,2,14
692,0.7935178760298843,0.849861902547306,22.0,0.01790263510011208,145992,150886,117789,33097,28203,2,24
693,0.7831226881809253,0.8586762816742592,18.0,0.014060062094839707,106884,111018,85322,25696,21562,2,20
694,0.6120968067498285,0.6399462500414007,21.0,0.01906427575138918,78729,119439,60649,58790,18080,4,25
695,0.7873248429046675,0.8588513860656287,10.0,0.00976552998292178,72290,76505,58575,17930,13715,2,12
696,0.7135105316479867,0.794403483545956,16.0,0.014054536949031662,80780,107747,67258,40489,13522,2,18
697,0.735054824678018,0.7484501939531701,29.0,0.011880103960789666,78989,109065,69115,39950,9874,2,31
698,0.8477907968291065,0.8404022196945194,15.0,0.006658903719293743,74041,84274,67109,17165,6932,2,17
699,0.7935353384021874,0.8790583929666541,7.0,0.016153261439110847,141427,125563,105933,19630,35494,2,9
700,0.7356432607648167,0.762877441013424,20.0,0.015586815899431027,97211,108250,75573,32677,21638,2,22
