case_id,dice,gt_voxels,pred_voxels,tp,fp,fn
651,0.58095317,91798,136093,66197,69896,25601
652,0.72198355,104440,112504,78315,34189,26125
653,0.62787168,113938,145666,81499,64167,32439
654,0.56516117,69538,116048,52443,63605,17095
655,0.53290224,35650,75695,29668,46027,5982
656,0.62002575,107758,135319,75357,59962,32401
657,0.58638335,105770,125212,67722,57490,38048
658,0.64707743,68870,98671,54206,44465,14664
659,0.70085661,104214,119692,78463,41229,25751
660,0.64302780,149249,213628,116670,96958,32579
661,0.59558177,105808,176024,83927,92097,21881
662,0.62658557,72718,121455,60833,60622,11885
663,0.61584970,137969,170327,94932,75395,43037
664,0.66463854,110700,116768,75592,41176,35108
665,0.69938650,80665,108904,66291,42613,14374
666,0.49158138,59676,109651,41619,68032,18057
667,0.68799704,76790,101766,61423,40343,15367
668,0.62689266,118575,154652,85642,69010,32933
669,0.71965974,83871,99046,65819,33227,18052
670,0.71584263,96095,118156,76685,41471,19410
671,0.72603993,123934,139473,95622,43851,28312
672,0.68499329,119236,156574,94464,62110,24772
673,0.64020672,111295,124382,75441,48941,35854
674,0.60737964,96401,149004,74527,74477,21874
675,0.70685013,105161,136630,85455,51175,19706
676,0.39180799,69394,187344,50296,137048,19098
677,0.56657066,203411,165295,104449,60846,98962
678,0.61816125,98510,104780,62833,41947,35677
679,0.73806461,79482,80672,59102,21570,20380
680,0.71824748,103123,122426,81000,41426,22123
681,0.78561354,147306,160400,120869,39531,26437
682,0.69938949,137623,178507,110549,67958,27074
683,0.66479527,108051,137399,81587,55812,26464
684,0.55603092,113860,168966,78630,90336,35230
685,0.59350281,112378,141855,75444,66411,36934
686,0.69137455,99033,144560,84207,60353,14826
687,0.65287756,101732,170947,89013,81934,12719
688,0.68252721,150122,155290,104226,51064,45896
689,0.75550388,86593,106907,73095,33812,13498
690,0.74543191,103873,103325,77226,26099,26647
691,0.75625859,88901,95126,69586,25540,19315
692,0.66023858,145992,195530,112743,82787,33249
693,0.70058959,106884,130910,83298,47612,23586
694,0.48155728,78729,158248,57059,101189,21670
695,0.71789106,72290,74476,52681,21795,19609
696,0.69347153,80780,106201,64833,41368,15947
697,0.63528871,78989,129735,66300,63435,12689
698,0.74023177,74041,98713,63939,34774,10102
699,0.74415481,141427,151934,109153,42781,32274
700,0.65226440,97211,125254,72553,52701,24658
