case_id,dice,cldice,betti0_error,voi,gt_voxels,pred_voxels,tp,fp,fn,gt_components,pred_components
651,0.5809531749827769,0.664440113538036,32.0,0.018657120569500068,91798,136093,66197,69896,25601,2,34
652,0.7219835533593922,0.7590877088636847,62.0,0.013142345690480405,104440,112504,78315,34189,26125,2,64
653,0.6278716814841065,0.6876684028641552,36.0,0.019314143642509173,113938,145666,81499,64167,32439,2,38
654,0.5651611651740972,0.5410953681563929,48.0,0.015795610902308205,69538,116048,52443,63605,17095,2,50
655,0.5329022407831515,0.5385217843921628,39.0,0.010278139700294906,35650,75695,29668,46027,5982,2,41
656,0.6200257531564072,0.6595926982130871,64.0,0.01853087782002321,107758,135319,75357,59962,32401,2,66
657,0.5863833545471075,0.6738095979482709,34.0,0.024590179311943062,105770,125212,67722,57490,38048,2,36
658,0.6470774317928149,0.639904330676388,38.0,0.012325942395993474,68870,98671,54206,44465,14664,2,40
659,0.7008566094700455,0.7572841355486601,36.0,0.017284429857503825,104214,119692,78463,41229,25751,3,39
660,0.6430278028092163,0.6785404444004461,43.0,0.024947560658794977,149249,213628,116670,96958,32579,2,45
661,0.5955817650231343,0.6081275888084718,36.0,0.021620326104420926,105808,176024,83927,92097,21881,3,39
662,0.6265855705994139,0.6517551078361203,36.0,0.01444417218945454,72718,121455,60833,60622,11885,2,38
663,0.6158497028829437,0.6300045530166766,42.0,0.023166916386718032,137969,170327,94932,75395,43037,2,44
664,0.6646385425642288,0.6390209780327707,18.0,0.020685296514912275,110700,116768,75592,41176,35108,3,21
665,0.6993865030674846,0.7649919497770628,26.0,0.015771407386329254,80665,108904,66291,42613,14374,2,28
666,0.49158137804366697,0.48196202842466096,54.0,0.01638959113776199,59676,109651,41619,68032,18057,3,57
667,0.6879970429445104,0.7110380215819418,53.0,0.011895701815319354,76790,101766,61423,40343,15367,2,55
668,0.626892657021451,0.6812954531927928,50.0,0.020234353300380793,118575,154652,85642,69010,32933,2,52
669,0.7196597363831683,0.8129092831876987,29.0,0.013305105787503092,83871,99046,65819,33227,18052,2,31
670,0.7158426331732407,0.7399255240467739,34.0,0.01310119732360366,96095,118156,76685,41471,19410,4,38
671,0.7260399306016925,0.7715431720864351,29.0,0.015453513006883468,123934,139473,95622,43851,28312,3,32
672,0.6849932924839564,0.7715722011370952,32.0,0.020030820377890054,119236,156574,94464,62110,24772,2,34
673,0.6402067236090072,0.6578127967018761,48.0,0.017364652122270778,111295,124382,75441,48941,35854,4,52
674,0.6073796377416923,0.6459342819542097,36.0,0.018817769291541026,96401,149004,74527,74477,21874,2,38
675,0.7068501308981724,0.6704254150203917,45.0,0.014900523426291667,105161,136630,85455,51175,19706,2,47
676,0.3918079910258707,0.38390301397541676,68.0,0.02644832762397175,69394,187344,50296,137048,19098,2,70
677,0.5665706552103844,0.6096417569947402,60.0,0.03434766473150867,203411,165295,104449,60846,98962,2,62
678,0.6181612474789709,0.7247284087818493,20.0,0.02067971447311983,98510,104780,62833,41947,35677,3,23
679,0.7380646128101702,0.8021968604419164,23.0,0.010456498287475077,79482,80672,59102,21570,20380,2,25
680,0.7182474761581741,0.7468910337351327,35.0,0.01776771240854097,103123,122426,81000,41426,22123,4,39
681,0.7856135401974612,0.8451606398502832,29.0,0.01900968125103366,147306,160400,120869,39531,26437,2,31
682,0.6993894916648214,0.7109370187568295,37.0,0.025141848047119587,137623,178507,110549,67958,27074,3,40
683,0.6647952739865554,0.5673881855874888,41.0,0.02191746134892677,108051,137399,81587,55812,26464,2,43
684,0.5560309165352549,0.5748483421435232,58.0,0.026477121743436853,113860,168966,78630,90336,35230,5,63
685,0.5935028104140689,0.6287948099476004,45.0,0.020339912548113574,112378,141855,75444,66411,36934,2,47
686,0.6913745468876363,0.6967735832122508,35.0,0.017997736632532468,99033,144560,84207,60353,14826,2,37
687,0.6528775593280011,0.6724006259341428,51.0,0.019221981926097222,101732,170947,89013,81934,12719,3,54
688,0.6825272091469883,0.7516585089782789,23.0,0.02584779974415299,150122,155290,104226,51064,45896,4,27
689,0.7555038759689923,0.8281086917772299,37.0,0.012644174439626163,86593,106907,73095,33812,13498,2,39
690,0.7454319057133756,0.7891025632368174,23.0,0.014463823677362282,103873,103325,77226,26099,26647,3,26
691,0.7562585924891456,0.7851836571431445,14.0,0.013236875080841051,88901,95126,69586,25540,19315,2,16
692,0.6602385790666487,0.6872652668300773,42.0,0.029640520762586844,145992,195530,112743,82787,33249,2,44
693,0.7005895859441366,0.7713121839905076,30.0,0.01951837606071813,106884,130910,83298,47612,23586,2,32
694,0.4815572819303139,0.47150336482444194,46.0,0.027483144164388573,78729,158248,57059,101189,21670,4,50
695,0.7178910646880068,0.7556873250233748,25.0,0.012135974774456638,72290,74476,52681,21795,19609,2,27
696,0.6934715291928056,0.7601763449431974,29.0,0.014789733373178182,80780,106201,64833,41368,15947,2,31
697,0.6352887066173512,0.6563126939762342,46.0,0.0166779604367875,78989,129735,66300,63435,12689,2,48
698,0.7402317746622364,0.7443370658417144,34.0,0.01105229168296153,74041,98713,63939,34774,10102,2,36
699,0.7441548126710776,0.8299411637604528,16.0,0.021002302161407596,141427,151934,109153,42781,32274,2,18
700,0.6522644011417527,0.6970438902228192,28.0,0.02063681230523959,97211,125254,72553,52701,24658,2,30
